minute,player,outcome,is_goal,delivery,match_number,team,header
76,Juan QUINTERO,Off Target,0,Freekick,87,Colombia,IN POSSESSION
79,Luis DIAZ Deflected,Off Target,0,Loose Ball,87,Colombia,IN POSSESSION
83,Juan QUINTERO,Off Target,0,Pass,87,Colombia,IN POSSESSION
86,Luis DIAZ Deflected,Off Target,0,Pass,87,Colombia,IN POSSESSION
91,Richard RIOS,Off Target,0,Cross,87,Colombia,IN POSSESSION
94,Jaminton CAMPAZ,Off Target,0,Pass,87,Colombia,IN POSSESSION
94,Luis SUAREZ,Incomplete - Blocked,0,Pass,87,Colombia,IN POSSESSION
94,Gustavo PUERTA,Incomplete,0,Loose Ball,87,Colombia,IN POSSESSION
95,Jaminton CAMPAZ,On Target - Saved,0,Other,87,Colombia,IN POSSESSION
0,Thomas PARTEY,Off Target,0,Loose Ball,87,Ghana,IN POSSESSION
33,Inaki WILLIAMS,Incomplete - Blocked,0,Pass,87,Ghana,IN POSSESSION
36,Antoine SEMENYO Deflected,Off Target,0,Pass,87,Ghana,IN POSSESSION
39,Inaki WILLIAMS,Off Target,0,Pass,87,Ghana,IN POSSESSION
43,Antoine SEMENYO,Incomplete - Blocked,0,Pass,87,Ghana,IN POSSESSION
43,Inaki WILLIAMS,Incomplete - Blocked,0,Loose Ball,87,Ghana,IN POSSESSION
68,Thomas PARTEY,Off Target,0,Loose Ball,87,Ghana,IN POSSESSION
14,Connor METCALFE Deflected,Off Target,0,Loose Ball,88,Australia,IN POSSESSION
14,Aiden ONEILL,Off Target,0,Pass,88,Australia,IN POSSESSION
34,Aziz BEHICH,On Target - Saved,0,Pass,88,Australia,IN POSSESSION
47,Nestory IRANKUNDA,Deflected On Target - Defensive Event,0,Cross,88,Australia,IN POSSESSION
60,Nestory IRANKUNDA,Incomplete - Blocked,0,Loose Ball,88,Australia,IN POSSESSION
80,Connor METCALFE Deflected,Off Target,0,Loose Ball,88,Australia,IN POSSESSION
85,Ajdin HRUSTIC,Incomplete - Blocked,0,Pass,88,Australia,IN POSSESSION
87,Jackson IRVINE,Incomplete,0,Corner,88,Australia,IN POSSESSION
105,Mohamed TOURE,Off Target,0,Loose Ball,88,Australia,IN POSSESSION
117,Awer MABIL,Incomplete - Blocked,0,Freekick,88,Australia,IN POSSESSION
121,Alessandro CIRCATI,Incomplete - Blocked,0,Freekick,88,Australia,IN POSSESSION
121,Mohamed TOURE Deflected,Off Target,0,Loose Ball,88,Australia,IN POSSESSION
12,EMAM ASHOUR,Incomplete - Blocked,0,Freekick,88,Egypt,IN POSSESSION
12,EMAM ASHOUR,On Target - Goal,1,Pass,88,Egypt,IN POSSESSION
15,OMAR MARMOUSH,Incomplete - Blocked,0,Pass,88,Egypt,IN POSSESSION
45,OMAR MARMOUSH,Off Target,0,Pass,88,Egypt,IN POSSESSION
72,EMAM ASHOUR,Off Target,0,Loose Ball,88,Egypt,IN POSSESSION
85,MARAWAN ATTIA,Incomplete - Blocked,0,Loose Ball,88,Egypt,IN POSSESSION
92,RAMY RABIA,On Target - Saved,0,Cross,88,Egypt,IN POSSESSION
93,MOHAMED SALAH,On Target - Saved,0,Loose Ball,88,Egypt,IN POSSESSION
94,MARAWAN ATTIA,Incomplete - Blocked,0,Pass,88,Egypt,IN POSSESSION
95,HAISSEM HASSAN,Incomplete - Blocked,0,Pass,88,Egypt,IN POSSESSION
92,MOHAMED SALAH,Off Target,0,Pass,88,Egypt,IN POSSESSION
102,EMAM ASHOUR,Off Target,0,Pass,88,Egypt,IN POSSESSION
108,MARAWAN ATTIA,Deflected On Target - Defensive Event,0,Pass,88,Egypt,IN POSSESSION
111,EMAM ASHOUR Deflected,Off Target,0,Pass,88,Egypt,IN POSSESSION
27,Diego GOMEZ,Off Target,0,Loose Ball,89,Paraguay,IN POSSESSION
86,Junior ALONSO,Off Target,0,Pass,89,Paraguay,IN POSSESSION
89,MAURICIO,Off Target,0,Pass,89,Paraguay,IN POSSESSION
21,Manu KONE Deflected,Off Target,0,Pass,89,France,IN POSSESSION
32,Adrien RABIOT,Off Target,0,Pass,89,France,IN POSSESSION
37,Ousmane DEMBELE Deflected,Off Target,0,Pass,89,France,IN POSSESSION
42,Manu KONE,Off Target,0,Pass,89,France,IN POSSESSION
44,Adrien RABIOT Deflected,Off Target,0,Pass,89,France,IN POSSESSION
48,Adrien RABIOT,Off Target,0,Pass,89,France,IN POSSESSION
51,Ousmane DEMBELE,Off Target,0,Corner,89,France,IN POSSESSION
53,Manu KONE,On Target - Saved,0,Pass,89,France,IN POSSESSION
59,Bradley BARCOLA,Off Target,0,Pass,89,France,IN POSSESSION
63,Kylian MBAPPE,Off Target,0,Pass,89,France,IN POSSESSION
69,Kylian MBAPPE,On Target - Goal,1,Penalty,89,France,IN POSSESSION
88,Kylian MBAPPE,On Target - Saved,0,Pass,89,France,IN POSSESSION
90,Desire DOUE,Incomplete - Blocked,0,Pass,89,France,IN POSSESSION
95,Kylian MBAPPE,On Target - Saved,0,Pass,89,France,IN POSSESSION
4,Jonathan DAVID,On Target - Saved,0,Pass,90,Canada,IN POSSESSION
10,Tani OLUWASEYI,Incomplete,0,Loose Ball,90,Canada,IN POSSESSION
17,Alistair JOHNSTON,Incomplete - Blocked,0,Corner,90,Canada,IN POSSESSION
48,Luc DE FOUGEROLLES,Off Target,0,Pass,90,Canada,IN POSSESSION
77,Jonathan DAVID,Off Target,0,Freekick,90,Canada,IN POSSESSION
78,Tajon BUCHANAN,On Target - Saved,0,Pass,90,Canada,IN POSSESSION
83,Jonathan DAVID,Incomplete - Blocked,0,Pass,90,Canada,IN POSSESSION
89,Jonathan OSORIO,Incomplete - Blocked,0,Pass,90,Canada,IN POSSESSION
96,Jayden NELSON,Incomplete - Blocked,0,Freekick,90,Canada,IN POSSESSION
28,Soufiane RAHIMI Deflected,On Target - Saved,0,Pass,90,Morocco,IN POSSESSION
49,Azzedine OUNAHI,On Target - Goal,1,Freekick,90,Morocco,IN POSSESSION
81,Azzedine OUNAHI,On Target - Goal,1,Pass,90,Morocco,IN POSSESSION
84,Soufiane RAHIMI,Off Target,0,Cross,90,Morocco,IN POSSESSION
97,Soufiane RAHIMI,On Target - Goal,1,Pass,90,Morocco,IN POSSESSION
13,BRUNO GUIMARAES,On Target - Saved,0,Penalty,91,Brazil,IN POSSESSION
30,DANILO,Incomplete,0,Pass,91,Brazil,IN POSSESSION
34,VINICIUS JUNIOR,Incomplete - Blocked,0,Pass,91,Brazil,IN POSSESSION
39,CASEMIRO,Incomplete - Blocked,0,Pass,91,Brazil,IN POSSESSION
48,BRUNO GUIMARAES,Incomplete,0,Pass,91,Brazil,IN POSSESSION
48,MATHEUS CUNHA,Incomplete,0,Loose Ball,91,Brazil,IN POSSESSION
58,ENDRICK,Off Target,0,Pass,91,Brazil,IN POSSESSION
60,ENDRICK Deflected,Off Target,0,Pass,91,Brazil,IN POSSESSION
61,RAYAN Deflected,On Target - Saved,0,Pass,91,Brazil,IN POSSESSION
93,EDERSON SILVA,Incomplete - Blocked,0,Pass,91,Brazil,IN POSSESSION
99,NEYMAR JR,On Target - Goal,1,Penalty,91,Brazil,IN POSSESSION
34,Martin ODEGAARD,Off Target,0,Loose Ball,91,Norway,IN POSSESSION
36,Erling HAALAND,On Target - Saved,0,Cross,91,Norway,IN POSSESSION
42,Martin ODEGAARD Deflected,Off Target,0,Pass,91,Norway,IN POSSESSION
47,Martin ODEGAARD,On Target - Saved,0,Loose Ball,91,Norway,IN POSSESSION
66,Erling HAALAND,Off Target,0,Cross,91,Norway,IN POSSESSION
74,Andreas SCHJELDERUP,On Target - Saved,0,Pass,91,Norway,IN POSSESSION
79,Erling HAALAND,On Target - Goal,1,Cross,91,Norway,IN POSSESSION
89,Erling HAALAND,On Target - Goal,1,Pass,91,Norway,IN POSSESSION
14,Raul JIMENEZ,On Target - Saved,0,Cross,92,Mexico,IN POSSESSION
18,Gilberto MORA,Incomplete - Blocked,0,Pass,92,Mexico,IN POSSESSION
31,Luis ROMO,Off Target,0,Pass,92,Mexico,IN POSSESSION
41,Julian QUINONES,On Target - Goal,1,Loose Ball,92,Mexico,IN POSSESSION
45,Raul JIMENEZ,Off Target,0,Pass,92,Mexico,IN POSSESSION
47,Raul JIMENEZ,On Target - Saved,0,Pass,92,Mexico,IN POSSESSION
47,Julian QUINONES,Incomplete - Blocked,0,Pass,92,Mexico,IN POSSESSION
56,Julian QUINONES,Off Target,0,Pass,92,Mexico,IN POSSESSION
68,Raul JIMENEZ,On Target - Goal,1,Penalty,92,Mexico,IN POSSESSION
77,Brian GUTIERREZ,Incomplete - Blocked,0,Pass,92,Mexico,IN POSSESSION
81,Santiago GIMENEZ,Off Target,0,Pass,92,Mexico,IN POSSESSION
88,Alvaro FIDALGO Deflected,On Target - Saved,0,Pass,92,Mexico,IN POSSESSION
93,Jesus GALLARDO,Off Target,0,Pass,92,Mexico,IN POSSESSION
95,Raul JIMENEZ,Incomplete - Blocked,0,Pass,92,Mexico,IN POSSESSION
95,Edson ALVAREZ,Incomplete - Blocked,0,Pass,92,Mexico,IN POSSESSION
96,Raul JIMENEZ,Off Target,0,Cross,92,Mexico,IN POSSESSION
101,Raul JIMENEZ,Incomplete - Blocked,0,Loose Ball,92,Mexico,IN POSSESSION
101,Alvaro FIDALGO Deflected,Off Target,0,Loose Ball,92,Mexico,IN POSSESSION
35,Jude BELLINGHAM,On Target - Goal,1,Cross,92,England,IN POSSESSION
37,Jude BELLINGHAM Deflected,On Target - Goal,1,Cross,92,England,IN POSSESSION
48,Nico OREILLY,Incomplete,0,Loose Ball,92,England,IN POSSESSION
59,Harry KANE,On Target - Goal,1,Penalty,92,England,IN POSSESSION
92,Jude BELLINGHAM,On Target - Saved,0,Pass,92,England,IN POSSESSION
6,JOAO CANCELO,Off Target,0,Pass,93,Portugal,IN POSSESSION
9,PEDRO NETO,Incomplete - Blocked,0,Loose Ball,93,Portugal,IN POSSESSION
11,CRISTIANO RONALDO,On Target - Saved,0,Pass,93,Portugal,IN POSSESSION
36,CRISTIANO RONALDO,On Target - Saved,0,Loose Ball,93,Portugal,IN POSSESSION
40,NUNO MENDES Deflected,Off Target,0,Pass,93,Portugal,IN POSSESSION
58,CRISTIANO RONALDO,Off Target,0,Pass,93,Portugal,IN POSSESSION
75,VITINHA,Incomplete - Blocked,0,Pass,93,Portugal,IN POSSESSION
75,BRUNO FERNANDES,Off Target,0,Loose Ball,93,Portugal,IN POSSESSION
96,BERNARDO SILVA,Off Target,0,Cross,93,Portugal,IN POSSESSION
98,JOAO NEVES,Off Target,0,Freekick,93,Portugal,IN POSSESSION
7,Mikel OYARZABAL,Off Target,0,Pass,93,Spain,IN POSSESSION
13,Alex BAENA,Off Target,0,Loose Ball,93,Spain,IN POSSESSION
15,Lamine YAMAL,On Target - Saved,0,Pass,93,Spain,IN POSSESSION
15,Alex BAENA,On Target - Saved,0,Other,93,Spain,IN POSSESSION
22,Pedro PORRO,Incomplete,0,Loose Ball,93,Spain,IN POSSESSION
30,Dani OLMO,Off Target,0,Loose Ball,93,Spain,IN POSSESSION
44,RODRI,Off Target,0,Loose Ball,93,Spain,IN POSSESSION
60,PEDRI Deflected,Off Target,0,Pass,93,Spain,IN POSSESSION
61,Lamine YAMAL Deflected,Off Target,0,Loose Ball,93,Spain,IN POSSESSION
64,Alex BAENA,On Target - Saved,0,Loose Ball,93,Spain,IN POSSESSION
72,Lamine YAMAL,On Target - Saved,0,Freekick,93,Spain,IN POSSESSION
76,Ferran TORRES,Off Target,0,Pass,93,Spain,IN POSSESSION
77,Dani OLMO Deflected,Off Target,0,Pass,93,Spain,IN POSSESSION
90,Mikel MERINO,On Target - Goal,1,Pass,93,Spain,IN POSSESSION
30,Malik TILLMAN Deflected,On Target - Goal,1,Freekick,94,USA,IN POSSESSION
44,Alex FREEMAN,Incomplete,0,Other,94,USA,IN POSSESSION
44,Folarin BALOGUN,Off Target,0,Loose Ball,94,USA,IN POSSESSION
65,Alex FREEMAN,Off Target,0,Corner,94,USA,IN POSSESSION
78,Sebastian BERHALTER,Off Target,0,Loose Ball,94,USA,IN POSSESSION
81,Folarin BALOGUN,On Target - Saved,0,Pass,94,USA,IN POSSESSION
82,Folarin BALOGUN Deflected,Off Target,0,Corner,94,USA,IN POSSESSION
0,Leandro TROSSARD,Incomplete - Blocked,0,Loose Ball,94,Belgium,IN POSSESSION
0,Youri TIELEMANS,Incomplete - Blocked,0,Loose Ball,94,Belgium,IN POSSESSION
0,Timothy CASTAGNE,On Target - Saved,0,Loose Ball,94,Belgium,IN POSSESSION
1,Charles DE KETELAERE,On Target - Saved,0,Corner,94,Belgium,IN POSSESSION
7,Youri TIELEMANS,Incomplete,0,Cross,94,Belgium,IN POSSESSION
8,Charles DE KETELAERE,On Target - Goal,1,Cross,94,Belgium,IN POSSESSION
13,Leandro TROSSARD,Off Target,0,Pass,94,Belgium,IN POSSESSION
32,Charles DE KETELAERE Deflected,On Target - Goal,1,Cross,94,Belgium,IN POSSESSION
38,Nicolas RASKIN,On Target - Saved,0,Corner,94,Belgium,IN POSSESSION
42,Dodi LUKEBAKIO,Off Target,0,Freekick,94,Belgium,IN POSSESSION
48,Dodi LUKEBAKIO,Off Target,0,Pass,94,Belgium,IN POSSESSION
56,Hans VANAKEN Deflected,On Target - Goal,1,Loose Ball,94,Belgium,IN POSSESSION
61,Leandro TROSSARD Deflected,Off Target,0,Pass,94,Belgium,IN POSSESSION
85,Leandro TROSSARD,Incomplete - Blocked,0,Pass,94,Belgium,IN POSSESSION
92,Romelu LUKAKU,On Target - Goal,1,Loose Ball,94,Belgium,IN POSSESSION
20,Lionel MESSI,On Target - Saved,0,Penalty,95,Argentina,IN POSSESSION
27,Alexis MAC ALLISTER,On Target - Saved,0,Cross,95,Argentina,IN POSSESSION
28,Enzo FERNANDEZ Deflected,Off Target,0,Pass,95,Argentina,IN POSSESSION
30,Lionel MESSI,Off Target,0,Freekick,95,Argentina,IN POSSESSION
37,Lionel MESSI,Off Target,0,Pass,95,Argentina,IN POSSESSION
38,Julian ALVAREZ,On Target - Saved,0,Pass,95,Argentina,IN POSSESSION
42,Julian ALVAREZ,Off Target,0,Pass,95,Argentina,IN POSSESSION
46,Rodrigo DE PAUL,On Target - Saved,0,Pass,95,Argentina,IN POSSESSION
57,Leandro PAREDES Deflected,Off Target,0,Pass,95,Argentina,IN POSSESSION
60,Alexis MAC ALLISTER Deflected,Off Target,0,Freekick,95,Argentina,IN POSSESSION
73,Lautaro MARTINEZ,Incomplete - Blocked,0,Cross,95,Argentina,IN POSSESSION
74,Lautaro MARTINEZ,Off Target,0,Cross,95,Argentina,IN POSSESSION
77,Lionel MESSI,Incomplete - Blocked,0,Pass,95,Argentina,IN POSSESSION
78,Cristian ROMERO,On Target - Goal,1,Cross,95,Argentina,IN POSSESSION
81,Lautaro MARTINEZ,Off Target,0,Cross,95,Argentina,IN POSSESSION
82,Lionel MESSI,On Target - Goal,1,Pass,95,Argentina,IN POSSESSION
91,Enzo FERNANDEZ,On Target - Goal,1,Cross,95,Argentina,IN POSSESSION
14,YASSER IBRAHIM,On Target - Goal,1,Pass,95,Egypt,IN POSSESSION
66,MOSTAFA ZICO,On Target - Goal,1,Cross,95,Egypt,IN POSSESSION
76,TREZEGUET,Off Target,0,Pass,95,Egypt,IN POSSESSION
91,TREZEGUET,Incomplete - Blocked,0,Cross,95,Egypt,IN POSSESSION
29,Fabian RIEDER,On Target - Saved,0,Loose Ball,96,Switzerland,IN POSSESSION
31,Dan NDOYE,On Target - Saved,0,Pass,96,Switzerland,IN POSSESSION
46,Djibril SOW,Off Target,0,Cross,96,Switzerland,IN POSSESSION
52,Fabian RIEDER,Off Target,0,Freekick,96,Switzerland,IN POSSESSION
90,Dan NDOYE,Incomplete,0,Pass,96,Switzerland,IN POSSESSION
113,Granit XHAKA,Off Target,0,Pass,96,Switzerland,IN POSSESSION
2,Jhon ARIAS,Incomplete - Blocked,0,Cross,96,Colombia,IN POSSESSION
20,Gustavo PUERTA,On Target - Saved,0,Pass,96,Colombia,IN POSSESSION
32,Luis DIAZ,Incomplete - Blocked,0,Pass,96,Colombia,IN POSSESSION
38,Luis SUAREZ,Incomplete - Blocked,0,Pass,96,Colombia,IN POSSESSION
38,Gustavo PUERTA,Incomplete,0,Loose Ball,96,Colombia,IN POSSESSION
59,Luis DIAZ,On Target - Saved,0,Other,96,Colombia,IN POSSESSION
62,Luis SUAREZ,Off Target,0,Other,96,Colombia,IN POSSESSION
92,Davinson SANCHEZ,Off Target,0,Loose Ball,96,Colombia,IN POSSESSION
98,Jhon LUCUMI,Off Target,0,Corner,96,Colombia,IN POSSESSION
99,Richard RIOS,Off Target,0,Pass,96,Colombia,IN POSSESSION
105,Luis DIAZ Deflected,Off Target,0,Pass,96,Colombia,IN POSSESSION
111,Juan QUINTERO,Off Target,0,Pass,96,Colombia,IN POSSESSION
114,Jaminton CAMPAZ,Off Target,0,Loose Ball,96,Colombia,IN POSSESSION
116,Cucho HERNANDEZ,Incomplete,0,Freekick,96,Colombia,IN POSSESSION
3,Kylian MBAPPE,Off Target,0,Pass,97,France,IN POSSESSION
3,Dayot UPAMECANO,On Target - Saved,0,Cross,97,France,IN POSSESSION
9,Desire DOUE,Incomplete - Blocked,0,Pass,97,France,IN POSSESSION
17,Ousmane DEMBELE,Off Target,0,Cross,97,France,IN POSSESSION
19,Ousmane DEMBELE,Incomplete - Blocked,0,Pass,97,France,IN POSSESSION
20,Adrien RABIOT,Off Target,0,Cross,97,France,IN POSSESSION
27,Kylian MBAPPE,On Target - Saved,0,Penalty,97,France,IN POSSESSION
32,Ousmane DEMBELE,Off Target,0,Pass,97,France,IN POSSESSION
35,Jules KOUNDE Deflected,Off Target,0,Corner,97,France,IN POSSESSION
45,Manu KONE,Incomplete - Blocked,0,Pass,97,France,IN POSSESSION
46,Lucas DIGNE,Off Target,0,Loose Ball,97,France,IN POSSESSION
54,Desire DOUE,On Target - Saved,0,Pass,97,France,IN POSSESSION
55,Kylian MBAPPE,Off Target,0,Pass,97,France,IN POSSESSION
59,Kylian MBAPPE,On Target - Goal,1,Pass,97,France,IN POSSESSION
65,Ousmane DEMBELE,On Target - Goal,1,Pass,97,France,IN POSSESSION
85,Michael OLISE,Off Target,0,Pass,97,France,IN POSSESSION
87,Bradley BARCOLA,On Target - Saved,0,Loose Ball,97,France,IN POSSESSION
87,Jean-Philippe MATETA,Off Target,0,Corner,97,France,IN POSSESSION
96,Michael OLISE,Off Target,0,Pass,97,France,IN POSSESSION
49,Achraf HAKIMI,Off Target,0,Freekick,97,Morocco,IN POSSESSION
47,Brahim DIAZ,Incomplete - Blocked,0,Pass,97,Morocco,IN POSSESSION
82,Azzedine OUNAHI,On Target - Saved,0,Freekick,97,Morocco,IN POSSESSION
83,Neil EL AYNAOUI,Off Target,0,Corner,97,Morocco,IN POSSESSION
94,Gessime YASSINE,Off Target,0,Pass,97,Morocco,IN POSSESSION
9,RODRI,Incomplete - Blocked,0,Cross,98,Spain,IN POSSESSION
12,Alex BAENA,Incomplete - Blocked,0,Pass,98,Spain,IN POSSESSION
20,Lamine YAMAL,Off Target,0,Loose Ball,98,Spain,IN POSSESSION
29,Dani OLMO,On Target - Saved,0,Cross,98,Spain,IN POSSESSION
29,Fabian RUIZ Deflected,On Target - Goal,1,Other,98,Spain,IN POSSESSION
34,Lamine YAMAL,On Target - Saved,0,Freekick,98,Spain,IN POSSESSION
44,Pedro PORRO,Off Target,0,Pass,98,Spain,IN POSSESSION
46,Fabian RUIZ,Incomplete - Blocked,0,Pass,98,Spain,IN POSSESSION
51,Lamine YAMAL Deflected,Off Target,0,Other,98,Spain,IN POSSESSION
52,Dani OLMO,Off Target,0,Loose Ball,98,Spain,IN POSSESSION
61,Mikel OYARZABAL Deflected,On Target - Saved,0,Pass,98,Spain,IN POSSESSION
73,Lamine YAMAL Deflected,Off Target,0,Pass,98,Spain,IN POSSESSION
87,Pau CUBARSI,On Target - Saved,0,Pass,98,Spain,IN POSSESSION
87,Mikel MERINO,On Target - Goal,1,Other,98,Spain,IN POSSESSION
14,Charles DE KETELAERE,Incomplete - Blocked,0,Pass,98,Belgium,IN POSSESSION
40,Charles DE KETELAERE,On Target - Goal,1,Cross,98,Belgium,IN POSSESSION
54,Maxim DE CUYPER,Off Target,0,Loose Ball,98,Belgium,IN POSSESSION
61,Kevin DE BRUYNE,On Target - Saved,0,Loose Ball,98,Belgium,IN POSSESSION
83,Kevin DE BRUYNE,Incomplete - Blocked,0,Loose Ball,98,Belgium,IN POSSESSION
34,Erling HAALAND,On Target - Saved,0,Cross,99,Norway,IN POSSESSION
35,Andreas SCHJELDERUP,On Target - Goal,1,Pass,99,Norway,IN POSSESSION
38,Alexander SORLOTH,Off Target,0,Freekick,99,Norway,IN POSSESSION
39,Martin ODEGAARD,On Target - Saved,0,Pass,99,Norway,IN POSSESSION
43,Alexander SORLOTH Deflected,Off Target,0,Pass,99,Norway,IN POSSESSION
52,Erling HAALAND,Off Target,0,Cross,99,Norway,IN POSSESSION
75,Fredrik AURSNES,Incomplete,0,Loose Ball,99,Norway,IN POSSESSION
75,Kristoffer AJER,Off Target,0,Loose Ball,99,Norway,IN POSSESSION
84,Antonio NUSA,On Target - Saved,0,Pass,99,Norway,IN POSSESSION
103,Antonio NUSA,Incomplete - Blocked,0,Pass,99,Norway,IN POSSESSION
108,Patrick BERG,Off Target,0,Pass,99,Norway,IN POSSESSION
113,Oscar BOBB,Off Target,0,Loose Ball,99,Norway,IN POSSESSION
28,Harry KANE,Off Target,0,Freekick,99,England,IN POSSESSION
44,Jude BELLINGHAM,Incomplete - Blocked,0,Corner,99,England,IN POSSESSION
46,Jude BELLINGHAM,On Target - Goal,1,Pass,99,England,IN POSSESSION
47,Harry KANE,Off Target,0,Loose Ball,99,England,IN POSSESSION
47,Eberechi EZE,Incomplete,0,Freekick,99,England,IN POSSESSION
51,Bukayo SAKA,Incomplete - Blocked,0,Pass,99,England,IN POSSESSION
94,Jude BELLINGHAM,Off Target,0,Pass,99,England,IN POSSESSION
92,Harry KANE,On Target - Saved,0,Cross,99,England,IN POSSESSION
92,Morgan ROGERS,On Target - Saved,0,Pass,99,England,IN POSSESSION
92,Jude BELLINGHAM,On Target - Goal,1,Other,99,England,IN POSSESSION
107,Jude BELLINGHAM,Off Target,0,Pass,99,England,IN POSSESSION
109,Bukayo SAKA,On Target - Saved,0,Other,99,England,IN POSSESSION
