match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside
6,13 June 2026 - BC Place Vancouver - 21:00,Australia,Türkiye,home,27.0,10.1,2.0,0.99,9.0,4.0,293.0,224.0,76.0,56.0,10.0,68.0,14.0,22.0,384.0,57.0,35.0,62.0,116.6,1.61,23.57,197.0,56.0,243.0
6,13 June 2026 - BC Place Vancouver - 21:00,Türkiye,Australia,away,62.9,10.1,0.0,1.66,30.0,7.0,722.0,663.0,92.0,132.0,15.0,348.0,28.0,38.0,170.0,31.0,30.0,87.0,112.5,1.51,10.66,77.0,35.0,98.0
7,13 June 2026 - New York/New Jersey Stadium - 18:00,Brazil,Morocco,home,46.7,8.1,1.0,0.99,12.0,5.0,514.0,457.0,89.0,89.0,11.0,100.0,19.0,30.0,315.0,54.0,41.0,56.0,113.7,1.58,18.03,133.0,57.0,187.0
7,13 June 2026 - New York/New Jersey Stadium - 18:00,Morocco,Brazil,away,45.2,8.1,1.0,1.33,14.0,3.0,503.0,431.0,86.0,81.0,5.0,149.0,14.0,49.0,285.0,41.0,50.0,79.0,114.9,1.59,16.83,145.0,33.0,189.0
8,13 June 2026 - San Francisco Bay Area Stadium - 12:00,Qatar,Switzerland,home,28.8,12.5,1.0,0.52,6.0,3.0,289.0,213.0,74.0,58.0,2.0,41.0,8.0,13.0,294.0,42.0,36.0,53.0,109.2,1.54,18.41,139.0,42.0,190.0
8,13 June 2026 - San Francisco Bay Area Stadium - 12:00,Switzerland,Qatar,away,58.7,12.5,1.0,3.14,26.0,7.0,591.0,542.0,92.0,122.0,17.0,245.0,34.0,31.0,165.0,33.0,42.0,70.0,109.4,1.78,13.22,77.0,30.0,95.0
9,14 June 2026 - Philadelphia Stadium - 19:00,Côte d'Ivoire,Ecuador,home,41.9,8.2,1.0,1.88,15.0,4.0,471.0,413.0,88.0,113.0,11.0,120.0,15.0,39.0,288.0,31.0,44.0,63.0,109.6,1.47,17.27,151.0,47.0,169.0
9,14 June 2026 - Philadelphia Stadium - 19:00,Ecuador,Côte d'Ivoire,away,49.9,8.2,0.0,1.36,12.0,1.0,513.0,438.0,85.0,106.0,8.0,97.0,14.0,16.0,280.0,61.0,49.0,60.0,108.4,1.56,15.65,129.0,39.0,164.0
10,14 June 2026 - Houston Stadium - 12:00,Germany,Curaçao,home,57.8,6.9,7.0,4.17,26.0,12.0,641.0,569.0,89.0,125.0,18.0,252.0,20.0,32.0,227.0,55.0,46.0,82.0,116.2,1.64,11.42,97.0,45.0,118.0
10,14 June 2026 - Houston Stadium - 12:00,Curaçao,Germany,away,35.3,6.9,1.0,0.4,8.0,2.0,362.0,291.0,80.0,72.0,6.0,61.0,5.0,34.0,339.0,48.0,43.0,58.0,103.5,1.39,18.09,151.0,54.0,190.0
100,11 July 2026 - Kansas City Stadium - 20:00,Argentina,Switzerland,home,54.7,8.3,3.0,1.99,22.0,7.0,716.0,629.0,88.0,98.0,7.0,256.0,16.0,21.0,241.0,35.0,39.0,69.0,136.7,1.69,15.34,129.0,39.0,146.0
100,11 July 2026 - Kansas City Stadium - 20:00,Switzerland,Argentina,away,37.0,8.3,1.0,0.44,11.0,5.0,476.0,404.0,85.0,99.0,8.0,130.0,22.0,34.0,367.0,47.0,43.0,76.0,138.0,1.56,19.42,182.0,52.0,232.0
11,14 June 2026 - Dallas Stadium - 15:00,Netherlands,Japan,home,54.9,7.7,2.0,0.63,10.0,6.0,529.0,473.0,89.0,88.0,13.0,156.0,23.0,23.0,194.0,30.0,33.0,49.0,102.9,1.57,14.25,86.0,27.0,129.0
11,14 June 2026 - Dallas Stadium - 15:00,Japan,Netherlands,away,37.4,7.7,2.0,0.34,9.0,2.0,356.0,302.0,85.0,72.0,13.0,120.0,24.0,21.0,316.0,46.0,28.0,50.0,109.4,1.75,22.26,151.0,68.0,193.0
12,14 June 2026 - Monterrey Stadium - 20:00,Sweden,Tunisia,home,47.4,9.9,5.0,2.09,13.0,7.0,356.0,290.0,81.0,71.0,13.0,103.0,12.0,26.0,172.0,44.0,42.0,69.0,111.3,1.5,15.0,64.0,27.0,104.0
12,14 June 2026 - Monterrey Stadium - 20:00,Tunisia,Sweden,away,42.7,9.9,1.0,0.34,6.0,2.0,370.0,299.0,81.0,76.0,5.0,84.0,13.0,19.0,223.0,45.0,41.0,67.0,109.7,1.89,17.18,90.0,24.0,152.0
13,15 June 2026 - Miami Stadium - 18:00,Saudi Arabia,Uruguay,home,27.1,9.6,1.0,1.06,7.0,3.0,331.0,243.0,73.0,54.0,3.0,60.0,6.0,13.0,318.0,40.0,44.0,58.0,109.5,1.47,19.24,129.0,38.0,233.0
13,15 June 2026 - Miami Stadium - 18:00,Uruguay,Saudi Arabia,away,63.3,9.6,1.0,1.5,27.0,10.0,623.0,566.0,91.0,128.0,16.0,222.0,42.0,32.0,157.0,23.0,39.0,67.0,110.9,1.4,12.89,64.0,30.0,78.0
14,15 June 2026 - Atlanta Stadium - 12:00,Spain,Cabo Verde,home,65.7,8.9,0.0,2.26,27.0,7.0,811.0,755.0,93.0,144.0,28.0,426.0,39.0,23.0,200.0,37.0,53.0,83.0,115.5,1.73,9.61,91.0,33.0,114.0
14,15 June 2026 - Atlanta Stadium - 12:00,Cabo Verde,Spain,away,25.4,8.9,0.0,0.13,6.0,1.0,306.0,227.0,74.0,57.0,1.0,17.0,3.0,23.0,398.0,44.0,47.0,54.0,112.4,1.36,24.76,182.0,60.0,252.0
15,15 June 2026 - Los Angeles Stadium - 18:00,IR Iran,New Zealand,home,43.3,11.4,2.0,1.85,17.0,4.0,417.0,333.0,80.0,75.0,15.0,98.0,18.0,31.0,253.0,54.0,46.0,83.0,113.0,1.58,12.89,112.0,34.0,153.0
15,15 June 2026 - Los Angeles Stadium - 18:00,New Zealand,IR Iran,away,45.3,11.4,2.0,1.47,14.0,8.0,448.0,378.0,84.0,89.0,3.0,104.0,11.0,22.0,234.0,42.0,47.0,67.0,112.9,1.8,12.89,95.0,40.0,143.0
16,15 June 2026 - Seattle Stadium - 12:00,Belgium,Egypt,home,45.5,16.4,1.0,1.07,15.0,4.0,476.0,415.0,87.0,106.0,14.0,181.0,15.0,36.0,227.0,44.0,41.0,70.0,113.3,1.54,12.36,96.0,36.0,129.0
16,15 June 2026 - Seattle Stadium - 12:00,Egypt,Belgium,away,38.1,16.4,1.0,0.73,14.0,3.0,411.0,339.0,82.0,78.0,11.0,96.0,17.0,22.0,258.0,68.0,52.0,66.0,111.3,1.39,18.55,106.0,33.0,140.0
17,16 June 2026 - New York/New Jersey Stadium - 15:00,France,Senegal,home,49.4,6.2,3.0,1.62,11.0,8.0,584.0,516.0,88.0,118.0,11.0,99.0,9.0,37.0,277.0,49.0,54.0,67.0,120.2,1.7,16.75,135.0,56.0,142.0
17,16 June 2026 - New York/New Jersey Stadium - 15:00,Senegal,France,away,44.5,6.2,1.0,0.39,6.0,2.0,521.0,453.0,87.0,101.0,11.0,78.0,11.0,28.0,308.0,44.0,39.0,64.0,116.7,1.42,19.16,135.0,51.0,186.0
18,16 June 2026 - Boston Stadium - 18:00,Iraq,Norway,home,34.7,8.1,1.0,1.2,11.0,1.0,347.0,286.0,82.0,70.0,11.0,72.0,9.0,24.0,288.0,64.0,42.0,52.0,111.7,1.64,22.84,153.0,50.0,165.0
18,16 June 2026 - Boston Stadium - 18:00,Norway,Iraq,away,57.2,8.1,4.0,2.41,11.0,5.0,548.0,493.0,90.0,116.0,16.0,101.0,17.0,34.0,173.0,34.0,31.0,52.0,116.3,1.56,13.7,79.0,27.0,92.0
19,16 June 2026 - Kansas City Stadium - 20:00,Argentina,Algeria,home,44.6,4.6,3.0,1.58,10.0,6.0,578.0,517.0,89.0,102.0,8.0,68.0,5.0,18.0,288.0,57.0,46.0,50.0,108.4,1.4,18.45,131.0,39.0,176.0
19,16 June 2026 - Kansas City Stadium - 20:00,Algeria,Argentina,away,50.8,4.6,0.0,0.41,7.0,1.0,634.0,578.0,91.0,115.0,7.0,160.0,8.0,40.0,332.0,37.0,40.0,59.0,109.3,1.7,20.18,145.0,78.0,175.0
20,16 June 2026 - San Francisco Bay Area Stadium - 21:00,Austria,Jordan,home,53.3,13.6,3.0,1.93,10.0,4.0,587.0,499.0,85.0,112.0,14.0,132.0,17.0,35.0,206.0,44.0,54.0,83.0,120.4,1.49,11.84,93.0,20.0,148.0
20,16 June 2026 - San Francisco Bay Area Stadium - 21:00,Jordan,Austria,away,33.0,13.6,1.0,0.53,11.0,4.0,344.0,254.0,74.0,63.0,4.0,91.0,15.0,23.0,322.0,42.0,55.0,85.0,119.2,1.84,17.53,164.0,57.0,203.0
21,17 June 2026 - Toronto Stadium - 19:00,Ghana,Panama,home,35.6,8.9,1.0,0.98,7.0,2.0,362.0,304.0,84.0,70.0,12.0,66.0,17.0,36.0,294.0,60.0,49.0,70.0,119.0,1.52,22.37,117.0,37.0,189.0
21,17 June 2026 - Toronto Stadium - 19:00,Panama,Ghana,away,55.5,8.9,0.0,0.77,11.0,4.0,597.0,526.0,88.0,105.0,8.0,114.0,21.0,22.0,201.0,62.0,48.0,75.0,117.3,1.83,12.16,80.0,26.0,104.0
22,17 June 2026 - Dallas Stadium - 15:00,England,Croatia,home,49.0,7.5,4.0,3.33,22.0,11.0,482.0,421.0,87.0,82.0,11.0,78.0,15.0,23.0,262.0,38.0,36.0,63.0,117.0,1.61,18.03,137.0,71.0,141.0
22,17 June 2026 - Dallas Stadium - 15:00,Croatia,England,away,43.5,7.5,2.0,0.82,10.0,5.0,459.0,399.0,87.0,85.0,8.0,89.0,12.0,20.0,295.0,50.0,35.0,48.0,113.7,1.51,17.07,156.0,45.0,182.0
23,17 June 2026 - Houston Stadium - 12:00,Portugal,Congo DR,home,68.9,5.8,1.0,0.57,7.0,1.0,804.0,740.0,92.0,146.0,18.0,222.0,23.0,27.0,183.0,24.0,29.0,70.0,109.8,1.62,11.03,74.0,42.0,98.0
23,17 June 2026 - Houston Stadium - 12:00,Congo DR,Portugal,away,25.3,5.8,1.0,0.54,8.0,2.0,268.0,214.0,80.0,60.0,4.0,62.0,10.0,24.0,407.0,41.0,42.0,46.0,112.4,1.67,33.49,183.0,59.0,292.0
24,17 June 2026 - Mexico City Stadium - 20:00,Uzbekistan,Colombia,home,33.9,9.4,1.0,1.11,8.0,2.0,334.0,267.0,80.0,70.0,6.0,64.0,11.0,20.0,264.0,36.0,32.0,40.0,112.0,1.6,17.99,120.0,53.0,151.0
24,17 June 2026 - Mexico City Stadium - 20:00,Colombia,Uzbekistan,away,56.7,9.4,3.0,1.16,15.0,4.0,534.0,469.0,88.0,72.0,3.0,110.0,18.0,23.0,160.0,32.0,31.0,60.0,108.7,1.35,12.6,66.0,31.0,91.0
25,18 June 2026 - Atlanta Stadium - 12:00,Czechia,South Africa,home,32.4,7.4,1.0,1.36,14.0,3.0,352.0,279.0,79.0,87.0,6.0,73.0,15.0,22.0,343.0,40.0,41.0,64.0,119.6,1.61,20.66,178.0,47.0,200.0
25,18 June 2026 - Atlanta Stadium - 12:00,South Africa,Czechia,away,60.3,7.4,1.0,1.34,17.0,4.0,584.0,518.0,89.0,114.0,8.0,126.0,16.0,20.0,233.0,41.0,44.0,66.0,112.0,1.45,12.29,93.0,44.0,117.0
26,18 June 2026 - Los Angeles Stadium - 12:00,Switzerland,Bosnia and Herzegovina,home,57.8,8.1,4.0,1.85,13.0,7.0,601.0,531.0,88.0,115.0,18.0,166.0,24.0,24.0,234.0,40.0,46.0,70.0,114.9,1.55,12.87,103.0,35.0,128.0
26,18 June 2026 - Los Angeles Stadium - 12:00,Bosnia and Herzegovina,Switzerland,away,34.1,8.1,1.0,0.3,5.0,3.0,359.0,289.0,81.0,69.0,6.0,61.0,14.0,24.0,339.0,48.0,42.0,62.0,113.1,1.42,18.4,154.0,54.0,200.0
27,18 June 2026 - BC Place Vancouver - 15:00,Canada,Qatar,home,65.8,13.7,6.0,3.9,33.0,11.0,575.0,535.0,93.0,131.0,23.0,416.0,61.0,16.0,107.0,27.0,31.0,89.0,111.2,1.36,8.44,50.0,27.0,55.0
27,18 June 2026 - BC Place Vancouver - 15:00,Qatar,Canada,away,20.5,13.7,0.0,0.2,2.0,0.0,166.0,107.0,64.0,23.0,3.0,11.0,2.0,7.0,274.0,43.0,23.0,34.0,90.8,1.39,21.02,121.0,42.0,176.0
28,18 June 2026 - Guadalajara Stadium - 19:00,Mexico,South Korea,home,40.8,7.3,1.0,0.34,8.0,4.0,432.0,360.0,83.0,76.0,4.0,56.0,5.0,18.0,265.0,39.0,46.0,69.0,116.5,1.66,14.39,137.0,37.0,157.0
28,18 June 2026 - Guadalajara Stadium - 19:00,South Korea,Mexico,away,51.8,7.3,0.0,0.87,9.0,2.0,593.0,510.0,86.0,75.0,9.0,84.0,8.0,16.0,217.0,37.0,48.0,62.0,112.1,1.46,17.59,115.0,33.0,108.0
29,19 June 2026 - Philadelphia Stadium - 20:30,Brazil,Haiti,home,49.0,7.8,3.0,1.42,7.0,4.0,551.0,484.0,88.0,105.0,13.0,84.0,11.0,21.0,195.0,32.0,39.0,50.0,113.6,1.75,16.92,74.0,39.0,107.0
29,19 June 2026 - Philadelphia Stadium - 20:30,Haiti,Brazil,away,43.2,7.8,0.0,0.26,7.0,3.0,402.0,338.0,84.0,84.0,10.0,88.0,13.0,29.0,294.0,58.0,34.0,63.0,112.8,1.58,18.9,160.0,45.0,174.0
30,19 June 2026 - Boston Stadium - 18:00,Scotland,Morocco,home,39.1,6.1,0.0,0.74,6.0,0.0,460.0,403.0,88.0,87.0,5.0,77.0,13.0,26.0,304.0,36.0,39.0,49.0,117.8,1.63,25.46,149.0,41.0,172.0
