match_number,header,team,opponent,side,possession_pct,contested_pct,goals,xg,attempts,on_target,passes,passes_complete,pass_completion_pct,line_breaks,def_line_breaks,final_third_receptions,crosses,progressions,pressures,direct_pressures,forced_turnovers,second_balls,distance_km,press_duration_s,recovery_time_s,push_into_press,press_inside,press_outside,opp_passes,directness,verticality,cross_share,ppda_like,direct_press_share,press_inside_share
49,24 June 2026 - Miami Stadium - 18:00,Scotland,Brazil,home,43.0,6.0,0.0,0.69,14.0,5.0,520.0,466.0,90.0,99.0,7.0,96.0,24.0,15.0,241.0,34.0,33.0,49.0,113.2,1.6,23.3,82.0,35.0,127.0,615.0,0.19038461538461537,0.18461538461538463,0.25,2.5518672199170123,0.14107883817427386,0.21604938271604937
49,24 June 2026 - Miami Stadium - 18:00,Brazil,Scotland,away,51.1,6.0,3.0,3.78,21.0,9.0,615.0,571.0,93.0,108.0,9.0,139.0,13.0,20.0,227.0,24.0,28.0,53.0,110.7,1.59,19.24,120.0,38.0,136.0,520.0,0.17560975609756097,0.22601626016260162,0.09352517985611511,2.290748898678414,0.10572687224669604,0.21839080459770116
50,24 June 2026 - Atlanta Stadium - 18:00,Morocco,Haiti,home,60.1,8.4,4.0,2.12,22.0,11.0,557.0,495.0,89.0,124.0,19.0,157.0,31.0,39.0,172.0,57.0,38.0,64.0,111.2,1.63,11.41,65.0,29.0,96.0,265.0,0.22262118491921004,0.28186714542190305,0.19745222929936307,1.5406976744186047,0.3313953488372093,0.232
50,24 June 2026 - Atlanta Stadium - 18:00,Haiti,Morocco,away,31.5,8.4,2.0,0.65,9.0,2.0,265.0,212.0,80.0,49.0,3.0,40.0,3.0,32.0,331.0,50.0,50.0,59.0,107.5,1.46,15.41,146.0,44.0,216.0,557.0,0.18490566037735848,0.1509433962264151,0.075,1.6827794561933536,0.1510574018126888,0.16923076923076924
51,24 June 2026 - BC Place Vancouver - 12:00,Switzerland,Canada,home,48.8,11.1,2.0,1.68,6.0,4.0,471.0,389.0,83.0,95.0,6.0,55.0,8.0,16.0,216.0,50.0,49.0,53.0,109.9,1.59,9.99,94.0,27.0,136.0,353.0,0.20169851380042464,0.11677282377919321,0.14545454545454545,1.6342592592592593,0.23148148148148148,0.1656441717791411
51,24 June 2026 - BC Place Vancouver - 12:00,Canada,Switzerland,away,40.1,11.1,1.0,1.61,13.0,7.0,353.0,275.0,78.0,87.0,7.0,103.0,26.0,21.0,299.0,44.0,50.0,64.0,114.6,1.38,14.55,141.0,54.0,177.0,471.0,0.24645892351274787,0.29178470254957506,0.2524271844660194,1.5752508361204014,0.14715719063545152,0.23376623376623376
52,24 June 2026 - Seattle Stadium - 12:00,Bosnia and Herzegovina,Qatar,home,48.7,8.7,3.0,0.77,14.0,5.0,521.0,461.0,88.0,99.0,8.0,92.0,25.0,29.0,248.0,41.0,43.0,59.0,113.8,1.46,14.56,126.0,43.0,135.0,457.0,0.19001919385796545,0.1765834932821497,0.2717391304347826,1.842741935483871,0.16532258064516128,0.24157303370786518
52,24 June 2026 - Seattle Stadium - 12:00,Qatar,Bosnia and Herzegovina,away,42.6,8.7,1.0,1.17,9.0,3.0,457.0,388.0,85.0,90.0,14.0,94.0,18.0,13.0,264.0,37.0,42.0,55.0,110.0,1.57,21.05,112.0,36.0,171.0,521.0,0.19693654266958424,0.20568927789934355,0.19148936170212766,1.9734848484848484,0.14015151515151514,0.17391304347826086
53,24 June 2026 - Mexico City Stadium - 19:00,Czechia,Mexico,home,44.7,8.8,0.0,0.44,13.0,1.0,423.0,352.0,83.0,82.0,6.0,80.0,20.0,18.0,213.0,27.0,38.0,66.0,111.6,1.59,17.59,86.0,24.0,129.0,394.0,0.1938534278959811,0.18912529550827423,0.25,1.8497652582159625,0.1267605633802817,0.1568627450980392
53,24 June 2026 - Mexico City Stadium - 19:00,Mexico,Czechia,away,46.5,8.8,3.0,2.1,11.0,5.0,394.0,340.0,86.0,71.0,5.0,109.0,14.0,14.0,233.0,23.0,35.0,51.0,114.7,1.54,15.17,130.0,50.0,134.0,423.0,0.1802030456852792,0.2766497461928934,0.12844036697247707,1.815450643776824,0.09871244635193133,0.2717391304347826
54,24 June 2026 - Monterrey Stadium - 19:00,South Africa,South Korea,home,30.3,8.9,1.0,0.89,13.0,4.0,345.0,279.0,81.0,69.0,2.0,53.0,7.0,21.0,321.0,37.0,40.0,68.0,111.8,1.59,24.27,145.0,55.0,209.0,718.0,0.2,0.1536231884057971,0.1320754716981132,2.236760124610592,0.11526479750778816,0.20833333333333334
54,24 June 2026 - Monterrey Stadium - 19:00,South Korea,South Africa,away,60.9,8.9,0.0,0.74,8.0,3.0,718.0,657.0,92.0,114.0,20.0,187.0,39.0,15.0,199.0,27.0,28.0,63.0,111.0,1.58,14.27,75.0,35.0,112.0,345.0,0.15877437325905291,0.2604456824512535,0.20855614973262032,1.7336683417085428,0.135678391959799,0.23809523809523808
